College Name,City,State,ZipCode,Selectivity,file_name
Alabama A&M University,Normal,AL,35762,COMPETITIVE,searchpage-profile.cfm_001.html
Alabama State University,Montgomery,AL,36101,NONCOMPETITIVE,searchpage-profile.cfm_002.html
Auburn University,Auburn,AL,36849,VERY COMPETITIVE+,searchpage-profile.cfm_003.html
Auburn University at Montgomery,Montgomery,AL,36124,COMPETITIVE,searchpage-profile.cfm_004.html
Huntingdon College,Montgomery,AL,36106,COMPETITIVE,searchpage-profile.cfm_005.html
Jacksonville State University,Jacksonville,AL,36265,LESS COMPETITIVE,searchpage-profile.cfm_006.html
Birmingham-Southern College,Birmingham,AL,35254,VERY COMPETITIVE,searchpage-profile.cfm_007.html
Faulkner University,Montgomery,AL,36109,COMPETITIVE,searchpage-profile.cfm_008.html
Oakwood University,Huntsville,AL,35896,COMPETITIVE,searchpage-profile.cfm_009.html
Miles College,Birmingham,AL,35064,NONCOMPETITIVE,searchpage-profile.cfm_010.html
Judson College,Marion,AL,36756,COMPETITIVE,searchpage-profile.cfm_011.html
Samford University,Birmingham,AL,35229,VERY COMPETITIVE,searchpage-profile.cfm_012.html
Spring Hill College,Mobile,AL,36608,COMPETITIVE,searchpage-profile.cfm_013.html
Stillman College,Tuscaloosa,AL,35403,COMPETITIVE,searchpage-profile.cfm_014.html
Talladega College,Talladega,AL,35160,COMPETITIVE,searchpage-profile.cfm_015.html
Troy University,Troy,AL,36082,COMPETITIVE,searchpage-profile.cfm_016.html
Tuskegee University,Tuskegee,AL,36088,COMPETITIVE,searchpage-profile.cfm_017.html
University of Alabama in Huntsville,Huntsville,AL,35899,VERY COMPETITIVE,searchpage-profile.cfm_020.html
University of Alabama at Birmingham,Birmingham,AL,35294,COMPETITIVE,searchpage-profile.cfm_021.html
University of Alabama,Tuscaloosa,AL,35487,COMPETITIVE+,searchpage-profile.cfm_023.html
University of Mobile,Mobile,AL,36613,COMPETITIVE,searchpage-profile.cfm_024.html
