UNITID,GR_Source,Adj6yrGrad,Adj6yrAAH,6yrGrad,6yrAAH,6yrAA,6yrH,Xfer,XferAAH,XferAA,XferH
145637,2016-1/3 Noble gap,0.79,0.75,0.79,0.75,0.74,0.76,N/A,N/A,N/A,N/A
145600,2016-1/3 Noble gap,0.51,0.45,0.51,0.45,0.37,0.48,0.3,0.33,0.42,0.29
Naval Prep,Special,0.57,0.52,0.57,0.52,0.52,0.52,N/A,N/A,N/A,N/A
Arrupe,Special,0.5,0.44,0.5,0.44,0.44,0.44,N/A,N/A,N/A,N/A
UICHonors,Special,0.88,0.8,0.88,0.8,0.8,0.8,N/A,N/A,N/A,N/A
144209,2016,0.27,0.26,0.17,0.15,0.11,0.18,0.21,0.21,0.22,0.2
145813,2016-1/3 Noble gap,0.62,0.49,0.62,0.49,0.45,0.52,N/A,N/A,N/A,N/A
147536,2016+1/3 Noble gap,0.34,0.41,0.34,0.41,0.18,0.47,N/A,N/A,N/A,N/A
144218,2016,0.25,0.2,0.16,0.11,0.04,0.13,0.18,0.17,0.21,0.17
144166,Special,0.2,0.2,0.11,0.11,0.08,0.18,0.19,0.18,0.2,0.15
170976,2016,0.91,0.84,0.91,0.84,0.8,0.89,N/A,N/A,N/A,N/A
149772,2016,0.53,0.39,0.53,0.39,0.35,0.49,0.34,0.43,0.45,0.38
144892,2016,0.57,0.44,0.57,0.44,0.44,0.45,0.31,0.39,0.36,0.48
147776,2016,0.24,0.19,0.24,0.19,0.09,0.21,0.4,0.43,0.54,0.4
168546,Special,0.76,0.54,0.76,0.54,0.51,0.64,N/A,N/A,N/A,N/A
144193,2014-2016,0.27,0.24,0.18,0.14,0.07,0.2,0.19,0.2,0.25,0.15
144740,2016,0.73,0.64,0.73,0.64,0.59,0.65,N/A,N/A,N/A,N/A
144157,2014-2016,0.33,0.27,0.24,0.17,0.16,0.4,0.17,0.19,0.19,0.15
147703,2016,0.47,0.32,0.47,0.32,0.27,0.42,N/A,N/A,N/A,N/A
148496,2014-2016,0.61,0.53,0.61,0.53,0.43,0.55,0.32,0.37,0.39,0.37
149532,2016,0.28,0.23,0.15,0.1,0.05,0.12,0.25,0.25,0.31,0.22
147767,2016,0.94,0.92,0.94,0.92,0.9,0.93,N/A,N/A,N/A,N/A
240444,2016,0.85,0.77,0.85,0.77,0.75,0.77,N/A,N/A,N/A,N/A
170301,2014-2016,0.78,0.67,0.78,0.67,0.7,0.65,N/A,N/A,N/A,N/A
147679,2014-2016,0.53,0.39,0.53,0.39,0.36,0.41,N/A,N/A,N/A,N/A
146676,3yr+.25*xfer,0.23,0.23,0.05,0.05,0,0.63,0.63,0.72,0.74,0
170082,2016,0.66,0.51,0.66,0.51,0.49,0.54,0.17,0.25,0.26,0.23
153278,2014-2016,0.45,0.3,0.45,0.3,0.31,0.27,0.27,0.26,0.25,0.3
144184,2014-2016,0.29,0.25,0.16,0.14,0.12,0.19,0.25,0.22,0.26,0.16
146427,2014-2016,0.78,0.73,0.78,0.73,0.73,0.72,N/A,N/A,N/A,N/A
144175,2014-2016,0.22,0.23,0.11,0.11,0.1,0.27,0.22,0.23,0.23,0.15
148654,2014-2016,0.49,0.39,0.49,0.39,0.4,0.35,N/A,N/A,N/A,N/A
169248,2016,0.57,0.44,0.57,0.44,0.45,0.41,N/A,N/A,N/A,N/A
145725,2014-2016,0.69,0.61,0.69,0.61,0.52,0.65,N/A,N/A,N/A,N/A
144005,2014-2016,0.14,0.13,0.14,0.13,0.13,0.17,0.51,0.52,0.52,0.45
144281,2016,0.45,0.31,0.45,0.31,0.27,0.39,N/A,N/A,N/A,N/A
147378,2016,0.4,0.33,0.28,0.22,0.12,0.26,0.24,0.22,0.33,0.18
202523,2014-2016,0.81,0.74,0.81,0.74,0.72,0.78,N/A,N/A,N/A,N/A
206589,2014-2016,0.78,0.69,0.78,0.69,0.74,0.54,0.07,0.04,0.04,0.04
100654,2016,0.27,0.43,0.27,0.28,0.28,0,0.38,0.37,0.37,0.75
147411,2014-2016,0.3,0.29,0.2,0.2,0.1,0.21,0.19,0.18,0.3,0.18
149222,2016,0.44,0.3,0.44,0.3,0.3,0.32,N/A,N/A,N/A,N/A
144351,2014-2016,0.51,0.29,0.51,0.29,0.22,0.35,N/A,N/A,N/A,N/A
170532,2014-2016,0.82,0.77,0.82,0.77,0.84,0.73,0.11,0.15,0.11,0.17
174844,2014-2016,0.88,0.76,0.88,0.76,0.75,0.77,N/A,N/A,N/A,N/A
